code, name
,
1718,BIOINFORMATICS
H260,
1200,PHYSICS UNDISTRIBUTED
3418,
I109,
W214,
1869,
072E,NETWORKS & QUEUING SYSTEMS
0830,
072F,ARRV - CONSTRUCTION
0839,
5988,NEAR EAST, OTHER
5989,SOUTH ASIA, OTHER
8805,INTEGRATED STUDIES PROGRAM
5982,INDIVIDUAL
5983,JAPAN AND KOREA PROGRAM
5980,WESTERN EUROPE PROGRAM
5981,GROUP
5986,HUMAN FRONTIER SCIENCE PROGRAM
5987,GULF OF MEXICO OIL SPILL-2010
5984,TRANS-REGIONAL AFFAIRS (TRA)
5985,INTER INST FOR APP SYS & ANALY
7517,DJIBOUTI
7516,DEM. REP. CONGO
7515,CYPRUS
7514,TUES-Central Resource Project
7513,TUES-Type 1 Project
7512,TUES-Type 3 Project
7511,TUES-Type 2 Project
7510,ALTERNATIVES -GRAD ED
3996,
3231,
I392,
I391,
054E,Molecular engineering
054F,LSST
083E,MATERIAL TRANSFORMATION PROC
4733,MOSIS PROJECTS
0723,SHARED SERVICES
4731,SYSTEMS PROTOTYPING
1656,LARGE SCALE NETWORKING
2314,
5854,SCIENTIFIC RESEARCH PROJECT
5856,SCIENCE AWARENESS PROJECT
5850,
083P,NEUROSCIENCE ACTIVITIES
5852,KACST SUPPORT
5853,
1655,INFORMATION MANAGEMENT
3777,
3779,
T046,
0055,PRE 78 CONVERTED PDM
4657,
4650,RADIO SPECTRUM MANAGEMENT
3234,
3419,
1612,MARINE CHEMISTRY
0619,
2262,
2263,
2261,
2267,
2265,
9258,ADV MATERI & PROCESS/MULTI DISCIPLINES
9259,SOFTWARE CAPITALIZATION
061E,Fire
9257,ADV MATERI & PROCESS/SINGLE DISCIPLINE
9254,CURRICULUM DEVELOPMENT
9255,LDRSHIP PRJS-COLL SCI INSTRUMN
9252,MODEL PROJECTS FOR WOMEN
9253,MODEL PROJECTS FOR PERSONS WITH DISABILI
9250,RES EXPER FOR UNDERGRADS-SITE
9251,RES EXPER FOR UNDERGRAD-SUPPLT
6896,ITR COMPUT RESRCH INFRASTRUCT
I122,
I125,
X719,
5824,
6886,MULTI-SCALE MODELING
2044,
2041,
005P,IAE NSF MOU
6378,
4842,
LAIT,INTELL SYS,LEARN IN NAT & ARTI
005F,ICECUBE - CONSTRUCTION
005E,Neuro-photonics
171E,CORBI/TIE
1364,INTERNATIONAL DIGITAL LIBRARIES COLLABOR
2639,
Z125,
9636,
5110,ENVIRONMENTAL RES(US ANTARC)
3519,
7269,EARTH SCOPE
7265,EMP IMPL OF THEORETICAL MODELS
7264,CCRI-DEC MAKING UNDER UNCERTAI
3510,
7261,PROGRAM EVALUATION
7260,DISSEMINATION
7263,NETWORKING INFRASTRUCT-EDUCAT
7262,RESEARCH ACTIVITIES
5296,OBSERVING ENV CHANGE (ARCTIC)
6202,
7613,EXPERIMENTAL PROJECTS
1436,MECHANICAL SYSTEMS
T518,
V117,
T512,
k612,
6800,STANDARDS AND MEASURES
5118,ADVANCED SYS APPLIC(US ANTARC)
91,DATA NOT AVAILABLE
3394,
1623,EXPLORATORY RESRCH IN MODEL-BASED SIMULA
1990,CHEMISTRY EDUCATION
1621,SUBMARINE GEOLOGY
1620,MARINE GEOLOGY AND GEOPHYSICS
1995,CHE CENTERS
1626,EXPL RES REL TO 99 ERTHQUKE IN TUR & TAI
1624,RESRCH ON ADVANCED TECHNOLOGIES FOR HOUS
1998,IUSE
5188,SAFETY
5400,LANGUAGE, COGNITION, & SOC BEH
7284,FRONTIERS IN POLAR GENOMICS
8830,SCIENTIFIC & TECHNICAL PERSONN
2860,THEORY OF COMPUTING
2861,EXPERIMENTAL SOFTWARE SYSTEMS
2865,NUMERIC, SYMBOLIC & GEO COMPUT
1376,PNGV-OTHER
128E,CENTERS: ENVIRONMENT
V693,
T994,
T992,
T990,
5033,
1439,CONSTRUCTION ENGINEER&BLDG RES
1199,CROSS-SITE LTER
1198,Biodiversity: Discov &Analysis
H330,
H331,
1191,BEHAVIORAL NEUROSCIENCE
1190,DEVELOPMENTAL NEUROSCIENCE
1193,NEUROENDOCRINOLOGY
1192,NEURONAL AND GLIAL MECHANISMS
1195,LONG TERM ECOLOGICAL RESEARCH
7071,JUNO
1197,BIOLOGICAL RESEARCH COLLECTION
1196,LONG-TERM RSCH IN ENVIR BIO
117E,TECHNOLOGY INNOVATION
1758,BIOENGINEERING & BIOINFORMATIC
1757,Quantitative sys bio and biotech
1753,ITR-Materials (for DMR use only)
1752,RESEARCH FOR MIXED SIGNAL ELECTRONIC TEC
1751,ULTRA-HIGH-CAPACITY OPTICAL COMM & NETWO
1750,MPS DMR INSTRUMENTATION
1177,COST EFFECTIVE HEALTH CARE TECHNOLOGIES
1176,LIFE HISTORIES & POP DYNAMICS
