ALY	ALLEY
ANX	ANNEX
APT	APARTMENT
ARC	ARCADE
AVE	AVENUE
BSMT	BASEMENT
BYU	BAYOU
BCH	BEACH
BND	BEND
BLF	BLUFF
BTM	BOTTOM
BLVD	BOULEVARD
BR	BRANCH
BRG	BRIDGE
BRK	BROOK
BLDG	BUILDING
BG	BURG
BYP	BYPASS
CP	CAMP
CYN	CANYON
CPE	CAPE
CSWY	CAUSEWAY
CTR	CENTER
CIR	CIRCLE
CLFS	CLIFF
CLFS	CLIFFS
CLB	CLUB
COR	CORNER
CORS	CORNERS
CRSE	COURSE
CT	COURT
CTS	COURTS
CV	COVE
CRK	CREEK
CRES	CRESCENT
XING	CROSSING
DL	DALE
DM	DAM
DEPT	DEPARTMENT
DV	DIVIDE
DR	DRIVE
EST	ESTATE
EXPY	EXPRESSWAY
EXT	EXTENSION
FLS	FALLS
FRY	FERRY
FLD	FIELD
FLDS	FIELDS
FLT	FLAT
FL	FLOOR
FRD	FORD
FRST	FOREST
FRG	FORGE
FRK	FORK
FRKS	FORKS
FT	FORT
FWY	FREEWAY
FRNT	FRONT
GDNS	GARDEN
GDNS	GARDENS
GTWY	GATEWAY
GLN	GLEN
GRN	GREEN
GRV	GROVE
HNGR	HANGER
HBR	HARBOR
HVN	HAVEN
HTS	HEIGHTS
HWY	HIGHWAY
HL	HILL
HLS	HILLS
HOLW	HOLLOW
INLT	INLET
IS	ISLAND
ISS	ISLANDS
JCT	JUNCTION
KY	KEY
KNLS	KNOLL
KNLS	KNOLLS
LK	LAKE
LKS	LAKES
LNDG	LANDING
LN	LANE
LGT	LIGHT
LF	LOAF
LBBY	LOBBY
LCKS	LOCK
LCKS	LOCKS
LDG	LODGE
LOWR	LOWER
MNR	MANOR
MDWS	MEADOW
MDWS	MEADOWS
ML	MILL
MLS	MILLS
MSN	MISSION
MT	MOUNT
MTN	MOUNTAIN
NCK	NECK
OFC	OFFICE
ORCH	ORCHARD
PKWY	PARKWAY
PH	PENTHOUSE
PNES	PINE
PNES	PINES
PL	PLACE
PLN	PLAIN
PLNS	PLAINS
PLZ	PLAZA
PT	POINT
PRT	PORT
PR	PRAIRIE
RADL	RADIAL
RNCH	RANCH
RPDS	RAPID
RPDS	RAPIDS
RST	REST
RDG	RIDGE
RIV	RIVER
RD	ROAD
RM	ROOM
SHL	SHOAL
SHLS	SHOALS
SHR	SHORE
SHRS	SHORES
SPC	SPACE
SPG	SPRING
SPGS	SPRINGS
SQ	SQUARE
STA	STATION
STRA	STRAVENUE
STRM	STREAM
ST	STREET
STE	SUITE
SMT	SUMMIT
TER	TERRACE
TRCE	TRACE
TRAK	TRACK
TRFY	TRAFFICWAY
TRL	TRAIL
TRLR	TRAILER
TUNL	TUNNEL
TPKE	TURNPIKE
UN	UNION
UPPR	UPPER
VLY	VALLEY
VIA	VIADUCT
VW	VIEW
VLG	VILLAGE
VL	VILLE
VIS	VISTA
WAY	WAY
WLS	WELL
WLS	WELLS
